NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                             
       254    103.5992     66.2262     494.8701     98.87072         5 -71.92   0    1.630
       255    574.1309     57.8200     2594.539      103.327        36  12.05   2    1.424
       256    569.6113     42.9251     1748.953       101.45       122 -14.48   2    2.209
       257    243.3253     50.8502     894.3242     98.97942        26  88.94   2    2.466
       258    298.5732     59.4328     1633.863     101.4551        22  29.48   0    1.106
       259    432.9474     59.7095     1210.517     99.43488        27 -64.67   2    1.181
       260    981.5048     59.4983     745.4007     98.09446        11 -84.27   2    1.471
       261    142.8266     60.2769     1704.259     101.0863        23  17.63   0    1.039
       262    526.3154     65.3393     887.2863     98.69332        15 -25.45   2    1.283
       263    536.0157     63.1668     1081.594     100.4762        17  33.90   2    1.100
       264    751.2535     61.2964     1093.948     98.89871        22 -78.47   2    1.206
       265    172.4247     53.9051     1120.165     98.95894        34  76.85   2    1.672
       266    403.4774     66.4987     841.3694     98.31656        16  -0.13   2    1.237
       267    403.6529     39.3325      13129.4     124.1438       128  64.91   2    1.384
       268    181.7898     59.9903     1718.288     101.1178        30  15.42   0    1.165
       269    683.6089     60.1277     670.0961     98.73377        22 -64.33   0    1.864
       270    751.0067     54.7156     4111.048     106.6104        44  74.40   2    1.134
       271    785.1167     62.6899     1639.273     100.6754        24  58.77   0    1.118
       272    528.5125     62.4866     996.1661     99.21299        18 -31.10   2    1.164
       273    623.2939     65.0453     595.5825     97.74674        12 -85.39   0    1.861
       274    458.7775     59.6950      1148.27     99.02346        25  80.34   2    1.143
       275    574.8041     49.4011     1770.383     101.2348        78  48.77   2    1.465
       276    352.2783     33.2384     3041.643     104.0497        98  64.42   2    1.493
       277    670.9399     60.6950     1013.562     98.71381        33 -44.71   0    1.712
       278    263.9084     52.4642     2790.407     102.9827        44 -46.38   2    1.315
       279    745.5170     66.4704     917.5993      98.7631        13 -71.45   2    1.306
       280    881.4656     70.8020     646.2331     98.94881        10   2.83   0    1.330
       281    410.0015     65.4998     2005.235     101.7607        14  34.32   2    2.017
       282    791.8220     62.4902      720.928     98.03775        21 -79.61   0    1.853
       283    741.4890     66.7610     1230.229     99.47993        20  -8.07   2    1.279
       284    837.3459     66.7222      877.217     98.94013        16  81.86   0    1.149
       285    482.0420     69.4858     888.0002     98.69497        16   0.47   0    1.198
       286    561.8751     69.5833     859.9207     99.43841        15  25.65   0    1.083
       287    638.9894     64.4992      1733.84     101.1527        28  41.17   2    1.190
       288    334.4325     20.1223     86085.59     220.3941       290  75.02   2    1.163
       289    491.5692     55.3144     881.0259     98.94888        22 -78.38   2    1.747
       290    990.7935     65.1624     847.8302     99.67876        26  20.25   0    1.504
       291    906.3495     63.3069     1401.542     99.60307        30  89.65   2    1.262
       292    903.0413     67.9917     1205.511     100.7561        22 -25.39   2    1.137
       293    601.5525     70.3280     698.4171     98.79894        11  18.50   0    1.159
       294    397.4882     66.5148     632.0668     98.37539        12  14.03   2    1.405
       295    567.5984     63.3497     1281.768     100.1319        31 -44.78   2    1.289
       296     36.7457     29.6752      1209.76     99.70108        30  40.84   0    1.398
       297    549.3475     66.7118     1165.378     99.33166        18  85.14   0    1.200
       298    953.9274     71.5585     698.6429     98.79947        13  38.36   0    1.297
       299      3.4825     73.9834     696.5406     98.79463         6  89.68   0    1.582
       300    979.5108     74.0273     604.6878     98.04039         8   1.24   0    1.162
       301    914.3103     68.8655     1035.755     99.03463        22  28.48   2    1.188
       302   1008.0748     57.5203     7856.871     113.3799        67 -39.26   0    1.066
       303    608.7822     65.4182     1475.775     101.1004        25 -62.70   0    1.412
       304    540.3660     67.1884     1887.566      102.283        29  22.45   2    1.100
       305    343.0135     72.5834     775.6233     98.97639        13  26.42   0    1.209
       306    872.0492     75.0977     468.3047     97.45036         9 -19.36   0    2.808
       307    257.9557     51.9334     2741.884     103.3928        59  80.91   2    1.614
       308    448.0110     70.9766     718.7461     99.11522        11  89.71   0    1.424
       309    139.3501     73.3826     754.9186      99.4667        14 -40.30   0    1.149
       310    885.6204     76.2035     491.0944     98.32087         5 -72.32   0    1.658
