NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                     
       249    732.8352     64.8468     249.4003     46.12454         8 -46.42   0    1.178
       250    922.3741     56.4872     288.8751     46.07232        27  49.88   2    1.087
       251    417.9341     53.7402      1096.42     50.12466        47 -37.96   0    1.124
       252    469.2200     61.2396     565.0295     48.01123        20  81.10   0    1.036
       253    648.9910     60.8979      557.885     47.62031        28  -6.80   0    1.406
       254    103.5992     66.2262     186.2307     46.05994         4 -71.92   0    1.630
       255    574.1309     57.8200     1155.157     50.50307        36  12.05   2    1.424
       256    569.6113     42.9251     877.4633     49.23755       127 -14.48   2    2.209
       257    243.3253     50.8502     381.6551     46.64987        22  88.94   2    2.466
       258    298.5732     59.4328     587.2311     47.99782        27  29.48   0    1.106
       259    432.9474     59.7095     475.8251     46.98548        28 -64.67   2    1.181
       260    981.5048     59.4983     308.1719       46.044        13 -84.27   2    1.471
       261    142.8266     60.2769     631.8544     47.97203        25  17.63   0    1.039
       262    526.3154     65.3393     329.4731     46.27215        14 -25.45   2    1.283
       263    536.0157     63.1668     411.2305     47.27758        19  33.90   2    1.100
       264    751.2535     61.2964     366.1969     46.32953        20 -78.47   2    1.206
       265    172.4247     53.9051     438.5619     46.68317        33  76.85   2    1.672
       266    403.4774     66.4987     324.8523     46.12626        16  -0.13   2    1.237
       267    403.6529     39.3325     3190.598     58.85899       129  64.91   2    1.384
       268    181.7898     59.9903     704.4099     48.31455        35  15.42   0    1.165
       269    683.6089     60.1277     241.9227     46.08768        11 -64.33   0    1.864
       270    751.0067     54.7156     1077.118     50.15065        44  74.40   2    1.134
       271    785.1167     62.6899     590.8569     47.65818        27  58.77   0    1.118
       272    528.5125     62.4866     393.7453     46.70873        19 -31.10   2    1.164
       273    623.2939     65.0453      218.088     45.59718         7 -85.39   0    1.861
       274    458.7775     59.6950     432.1084     46.65174        27  80.34   2    1.143
       275    574.8041     49.4011     884.7247     49.15544        79  48.77   2    1.465
       276    352.2783     33.2384     924.5139     49.33907        95  64.42   2    1.493
       277    670.9399     60.6950     428.3787     46.63357        34 -44.71   0    1.712
       278    263.9084     52.4642     886.5158     48.93172        49 -46.38   2    1.315
       279    745.5170     66.4704     393.0242     46.58324        13 -71.45   2    1.306
       280    881.4656     70.8020     251.8958     46.25999         7   2.83   0    1.330
       281    410.0015     65.4998     739.5427     48.47953        14  34.32   2    2.017
       282    791.8220     62.4902     300.6649     46.00694        20 -79.61   0    1.853
       283    741.4890     66.7610     449.9252     46.86003        24  -8.07   2    1.279
       284    837.3459     66.7222     349.5205     46.49305        15  81.86   0    1.149
       285    482.0420     69.4858     295.2886     46.10394        13   0.47   0    1.198
       286    561.8751     69.5833     320.2133     46.59442        14  25.65   0    1.083
       287    638.9894     64.4992     685.6086     48.22603        30  41.17   2    1.190
       288    334.4325     20.1223     18663.73     102.4579       274  75.02   2    1.163
       289    491.5692     55.3144      331.657     46.40564        19 -78.38   2    1.747
       290    990.7935     65.1624     341.6265     46.82043        25  20.25   0    1.504
       291    906.3495     63.3069     532.9888     47.14064        30  89.65   2    1.262
       292    903.0413     67.9917     455.8685     47.49168        21 -25.39   2    1.137
       293    601.5525     70.3280      271.366     46.23265        10  18.50   0    1.159
       294    397.4882     66.5148      215.098     45.83123         8  14.03   2    1.405
       295    567.5984     63.3497     569.7677     47.67699        38 -44.78   2    1.289
       296     36.7457     29.6752     491.3079     47.18106        30  40.84   0    1.398
       297    549.3475     66.7118     465.9024     46.93746        20  85.14   0    1.200
       298    953.9274     71.5585     262.1969     46.18755         8  38.36   0    1.297
       299      3.4825     73.9834    -491.3381     44.87883         0  89.68   0    1.582
       300    979.5108     74.0273     176.3285     45.51374         4   1.24   0    1.162
       301    914.3103     68.8655     422.6147     46.72739        22  28.48   2    1.188
       302   1008.0748     57.5203      2065.47     54.02612        67 -39.26   0    1.066
       303    608.7822     65.4182     572.2233     47.92671        29 -62.70   0    1.412
       304    540.3660     67.1884     593.4459     48.14556        30  22.45   2    1.100
       305    343.0135     72.5834     233.2032     46.04466        10  26.42   0    1.209
       306    872.0492     75.0977      170.171     45.35772         6 -19.36   0    2.808
       307    257.9557     51.9334     1015.084     49.75451        60  80.91   2    1.614
       308    448.0110     70.9766     232.0952     46.16261        10  89.71   0    1.424
       309    139.3501     73.3826     266.9261     46.45641        11 -40.30   0    1.149
       310    885.6204     76.2035      176.687     45.76485         4 -72.32   0    1.658
       311    696.7769     44.4995     1081.622      49.6008        52 -68.11   2    1.385
       312    873.8186     58.0193      585.599      47.9901        31  68.77   0    1.843
       313     96.3630     74.3759      259.741     46.54365        12  47.53   0    1.167
       314    225.1941     74.5038     287.2713     46.31077        13  80.32   0    1.056
       315    170.4904     72.0326     264.0325     45.82561        14 -81.51   2    1.321
       316    211.3195     63.0179      544.596     47.55684        42  71.23   0    1.487
       317    247.7099     68.5029     199.5982     45.62979        11 -79.81   0    1.884
       318    758.2428     73.0297     556.2599     47.85095        23  24.72   0    1.098
       319    398.0554     54.0546     1805.814     53.45739        85  62.56   2    1.326
       320    594.8283     73.0018     389.7679     47.05354        17 -89.41   2    1.107
       321    687.3325     75.3366     477.3949     47.11399        11 -45.33   2    1.908
       322    861.7410     66.3287     825.1611     48.87927        50  -6.55   0    1.035
       323    366.1239     71.1051     627.7679     47.83387        33 -16.21   0    1.257
       324    567.0652     53.3210     13910.95     91.24631       107  56.14   2    1.075
       325    316.7409     66.3912     304.9409     46.51987        24  17.17   2    1.989
       326    456.9347     68.2569     487.3186     47.28232        27 -85.00   2    1.581
       327    475.4777     72.2741     643.2598     47.66931        27  -4.13   0    1.037
       328    173.9152     75.6399     330.1644     46.27554        17  54.32   2    1.382
       329    491.5964     73.0209     297.7498     46.36217        21 -41.77   2    1.897
       330    248.4535     78.4306      322.854     46.48507        16  -2.87   0    1.016
       331    693.3336     78.3208     492.5096     47.06612         9 -31.71   2    1.599
       332     29.1857     56.0774     1147.691     50.46946        44  50.90   0    1.029
       333    716.4905     72.9305     861.5058     48.93183        39  55.61   0    1.071
       334    906.3823     75.4910      255.176     45.78167        13 -62.78   0    1.908
       335    836.3904     73.7485     669.5513     48.26831        32  49.21   0    1.190
       336    717.0444     83.9588     214.3742     45.82765         6 -15.45   0    1.735
       337    528.4127     74.5694     593.0396     48.02532        30  63.88   0    1.267
       338    193.3187     82.6887     270.4057     46.10469        12 -42.80   0    1.194
       339    533.5156     80.1079     438.7148     46.92703        21 -36.35   2    1.252
       340    853.6839      8.5257     1159.201     50.06877        98 -55.56   2    1.831
       341    632.8635     51.2736     11800.26      85.8945       183  59.81   2    1.037
       342    857.2882     81.1727     399.6813     46.61571        19  67.66   0    1.162
       343    843.7083     83.4718      280.674     46.03184        13 -89.06   0    1.037
       344    881.3964     85.7882     157.7929     45.67093         1 -71.52   0    1.655
       345   1019.1703     88.3524      115.579        45.71         0   1.96   0    3.221
       346    775.3336     76.8876     212.4664     45.69384        12  64.31   0    2.282
       347    295.5031     76.0843     208.9204      45.6762         8 -89.43   2    1.375
       348    289.9368     81.7294     296.7203     46.35712        14 -28.21   0    1.133
       349    464.4326     82.2995     237.1627     45.56747        12  87.27   2    1.232
       350     22.4678     84.7237     278.5479     46.02134        12  -1.22   0    1.033
       351    850.3688     74.9917     629.5714     48.19789        31 -51.01   2    1.195
       352    397.6206     75.5380     785.0275      48.6923        40  19.73   2    1.031
       353    807.3114     80.2661     600.8196     47.58625        25  28.56   0    1.087
       354    669.3555     82.2829     238.9953      45.8256        13  56.35   2    2.658
       355    645.9135     74.1099         1025     49.68541        72  28.54   0    2.032
       356    406.6953     59.9807     3402.795       59.386       111  65.64   2    1.178
       357    464.0689     75.8841     852.9883     48.77575        41 -41.50   2    1.124
       358    308.5366     86.7085     224.1489     45.75191         8 -16.47   0    1.125
       359    961.0030     86.8088     317.4897     46.45883         9  87.64   0    1.200
       360    408.0749     74.4042     824.9117     48.87811        56 -80.00   2    1.795
       361    900.9081     82.5902     487.9863     47.28553        23  10.61   0    1.189
       362    389.9555     70.1575     1357.444     51.07222        69 -34.78   2    1.400
       363    891.7659     83.4983     640.0883     47.53464        34  -8.65   0    1.139
       364    832.4115     86.0128      300.972     46.37796        14 -60.71   0    1.278
       365    525.3077     88.3578     336.0657     46.18148        11  43.32   0    1.112
       366    559.5171     88.2503     349.1836     46.36886        14   5.14   0    1.038
       367    681.3107     71.5104     771.1569     48.51037        56  58.03   2    1.656
       368    588.5411     76.1944     969.8276     49.66205        56  64.97   2    1.398
       369    621.5421     79.8350     1229.537     50.72465        46 -49.47   0    1.082
       370    367.3161     82.4787     485.1043     46.90921        23  33.18   2    1.098
       371    973.8482     84.5574     567.9534     47.78754        20 -53.06   0    1.113
       372    860.5182     87.3075     358.9557     46.53915        19  38.30   0    1.681
       373    329.6710     89.3320     397.5791     46.72738        14 -45.55   2    1.169
       374    634.4652     67.5235     789.1563      48.4774        57 -57.31   2    2.378
       375    323.9730     78.1484     917.1497     49.42039        54 -64.69   0    1.229
       376    111.3891     87.7614     452.8394     47.47718        19 -84.16   0    1.056
       377    740.0707     80.6411     472.0584     47.20892        39 -79.65   2    1.258
       378    758.1401     90.4575     228.4894     46.26799        10 -48.91   0    1.475
       379    464.8800     47.1558     14541.22     92.80289       146 -87.51   2    1.107
       380    356.6136     82.5284     673.0039     48.28457        40  89.55   0    1.355
       381    137.9663     89.6183     397.7567     47.21277        34   7.78   0    1.876
       382    692.2576     71.6062      1749.69     53.11123        93  56.91   2    1.103
       383    613.6208     95.9403     316.9036     46.45597        10  14.60   0    1.305
       384    695.5073     93.4846     601.0491     47.70675        14 -66.29   2    1.031
