NUMBER X_IMAGE Y_IMAGE FLUX_APER FLUXERR_APER ISOAREA_IMAGE THETA_IMAGE FLAGS ELONGATION                                          
       357    464.0689     75.8841     1136.844     71.22142        41 -41.50   2    1.124
       358    308.5366     86.7085     297.3655     68.49021         5 -16.47   0    1.125
       359    961.0030     86.8088     396.3372      69.1951        10  87.64   0    1.200
       360    408.0749     74.4042     1264.591     71.99043        58 -80.00   2    1.795
       361    900.9081     82.5902     651.0059     70.02657        25  10.61   0    1.189
       362    389.9555     70.1575      2173.83     74.45702        67 -34.78   2    1.400
       363    891.7659     83.4983     862.9333     69.97085        32  -8.65   0    1.139
       364    832.4115     86.0128     410.0409      69.2401        14 -60.71   0    1.278
       365    525.3077     88.3578     376.1833     68.56167        10  43.32   0    1.112
       366    559.5171     88.2503     449.7269     68.99394        13   5.14   0    1.038
       367    681.3107     71.5104     1044.452     71.10926        55  58.03   2    1.656
       368    588.5411     76.1944     1386.659     72.55441        65  64.97   2    1.398
       369    621.5421     79.8350     1832.594     73.76182        51 -49.47   0    1.082
       370    367.3161     82.4787     596.0281     69.28659        22  33.18   2    1.098
       371    973.8482     84.5574     690.3053     70.33929        22 -53.06   0    1.113
       372    860.5182     87.3075     436.2473     69.13805        18  38.30   0    1.681
       373    329.6710     89.3320     536.3293     69.46626        14 -45.55   2    1.169
       374    634.4652     67.5235     1064.813     70.99119        59 -57.31   2    2.378
       375    323.9730     78.1484     1271.922      72.1941        55 -64.69   0    1.229
       376    111.3891     87.7614      589.564     70.38388        16 -84.16   0    1.056
       377    740.0707     80.6411     670.8193     70.09084        39 -79.65   2    1.258
       378    758.1401     90.4575     284.7112     69.20469         6 -48.91   0    1.475
       379    464.8800     47.1558     14513.81     105.7306       146 -87.51   2    1.107
       380    356.6136     82.5284     909.3265     71.04345        40  89.55   0    1.355
       381    137.9663     89.6183     573.8502     70.33312        35   7.78   0    1.876
       382    692.2576     71.6062     2689.914     76.52796        98  56.91   2    1.103
       383    613.6208     95.9403     379.6798     69.14037         9  14.60   0    1.305
       384    695.5073     93.4846     720.4576     70.06609        14 -66.29   2    1.031
